name,mass,radius,period,semi_major_axis,temperature,distance_light_year,host_star_mass,host_star_temperature
HD 240210 b,5.21,,501.75,1.16,,465.96,0.82,4297
Gliese 1214 b,0.0197,0.254,1.580405,0.01411,547,47.78,0.15,3026
CoRoT-30 b,2.9,1.009,9.06005,0.0844,,3100,0.98,5650
HD 4203 b,2.23,,431.88,1.17,,266.05,1.25,5596
HD 4203 c,2.17,,6700,6.95,,253.8,1.13,5702
HD 179079 b,0.081,,14.479,0.1214,,227.83,1.14,5646
HD 187123 b,0.523,,3.096583,0.0426,,150.1,1,5830
HD 187123 c,1.99,,3810,4.89,,150.1,1,5830
KIC 5479689 b,0.5,,1.701531,,,1504,0.966,5459.1
HD 64114 b,0.056,,45.791,0.246,,102.9,0.95,5676
HD 208897 b,1.4,,352.7,1.05,,211,1.25,4860
HD 10975 b,0.45,,283.8,0.95,,379,1.41,4840
HD 164595 b,0.05078,,40,0.23,,94.4,0.99,5790
WASP-108 b,1.167,1.215,2.675546,0.0397,1590,717.6,1.167,6000
HD 332231 b,0.251,0.867,18.70173,0.1436,876,262,1.127,6089
Gliese 86 b,4.42,,15.76491,0.11,,35.18,0.83,5182
HD 211810 b,0.67,,1558,2.656,,211,1.03,5652
HD 145377 b,6.02,,103.95,0.45,,174.73,1.2,6014
HD 5608 b,1.4,,792.6,1.9,,189.7,1.55,4854
HD 68988 b,1.97,,6.27711,0.07,,198.8,1.28,5932
HD 68988 c,15,,16100,13.2,,198.8,1.16,5919
HD 183263 b,3.95,,626.51599,1.49,,177.04,1.31,5948
HD 183263 c,3.57,,3070,4.35,,177.04,1.31,5948
HD 154672 b,5.37,,163.94,0.6,,206.01,1.18,5743
Beta Ursae Minoris b,6.1,,522.3,1.4,,126.5,1.4,4126
HD 106315 b,0.0255,0.207,9.55804,0.0905,1046,358,1.08,6277
HD 106315 c,0.056,0.385,21.05788,0.1533,804,358,1.08,6277
HD 2952 b [ru],1.6,,311.6,1.2,,375.8,2.54,4844
TOI-1601 b,0.99,1.239,5.331751,0.06864,1619,1096,1.517,5948
Rho Coronae Borealis b,1.045,,39.8458,0.2196,614,57,0.889,5627
Rho Coronae Borealis c,0.07866,,102.54,0.4123,448,56.2,0.89,5627
Gliese 3634 b,0.026,,2.64561,0.0287,,64.58,0.45,3685
HD 156279 b,9.88,,131.05,0.49,,118.17,0.95,5453
HD 156279 c,8.6,,4191,,,119.109,0.95,5453
HD 113996 b,6.3,,610.2,1.6,,331.4,1.49,4181
EPIC 211901114 b,5,0.9,1.6489,0.0211,,592,0.46,3440
TOI-561 b,0.005,0.127,0.446578,0.01055,,279.2,0.785,5455
TOI-561 c,0.017,0.257,10.779,0.08809,,279.2,0.785,5455
TOI-561 d,0.038,0.226,25.62,0.1569,,279.2,0.785,5455
TOI-561 e,0.05,0.238,77.23,0.3274,,279.2,0.785,5455
HD 12661 b,2.43,,262.70862,0.84,,123.58,1.2,5645
HD 12661 c,1.812,,1708,2.8145,,123.58,1.2,5645
HD 128311 b,1.769,,453.019,1.084,,53.88,0.83,4863
HD 128311 c,3.789,,921.538,1.74,,53.88,0.83,4863
HD 72892 b [id],5.45,,39.475,0.228,,237.4,1.02,5688
HD 183579 b,0.062,0.317,17.471278,0.1334,769,186.1,1.031,5788
HD 175167 b,8.97,,1290,2.4,,232.33,1.37,5635
TYC 3667-1280-1 b,5.4,,26.468,0.21,1350,1570,1.87,5130
HD 202206 c,17.9,,1260,2.41,,150.13,1.27,5760
HD 131664 b,19.12,,1951,3.17,,172.51,1.19,5892
TOI-125 b,0.0299,0.2432,4.65382,0.05186,1037,363.3382,0.859,5320
TOI-125 c,0.02086,0.24614,9.15059,0.814,827.8,363.3382,0.859,5320
TOI-125 d,0.0428,0.2614,19.98,0.05186,638.1,363.3382,0.859,5320
HD 9174 b [id],1.11,,1179,2.2,,257.4,1.03,5577
CoRoT-31 b,0.84,1.46,4.62941,0.0586,,7000,1.25,5700
HD 66428 b,3.204,,2263.12,3.467,,174.04,1.08,5773
